source_center,destination_center,total_trips,median_delay_ratio,mean_delay_ratio,p90_delay_ratio,std_delay_ratio,sla_breaches,od_mean_dist_km,od_reliability,breach_rate,is_chronic,breach_share_pct
IND501359AAE,IND500080AAB,24,1.5879624481311716,1.989878119526631,2.591788032507722,1.2490429437730188,24,31.87969166666667,0.0416666666666666,1.0,True,0.10058254054733666
IND530012AAA,IND532001AAB,24,1.7435895200526255,1.8268674913579825,2.071428302411909,0.2337065894331133,24,112.7379,0.0,1.0,True,0.10058254054733666
IND700065AAA,IND712311AAA,24,3.057691108580352,4.9442456500596075,9.809086450415249,5.026770487303239,24,26.063029166666663,0.0,1.0,True,0.10058254054733666
IND121004AAB,IND121001AAA,24,1.6862730821492158,1.7525545298538585,2.1699978300021696,0.41658681606033715,23,12.344104166666668,0.0833333333333333,0.9583333333333334,True,0.0963916013578643
IND121004AAB,IND121004AAA,23,1.8333318055568288,1.9346649141857013,2.636361406337977,0.43953261227107593,23,16.64195652173913,0.0,1.0,True,0.0963916013578643
IND144001AAB,IND000000ACA,23,2.344827181926348,2.379084198913519,2.862118464722542,0.3194301370330654,23,75.45530434782609,0.0,1.0,True,0.0963916013578643
IND302014AAA,IND000000ACB,23,1.6685081951100444,1.6406613358754198,1.9676299440676335,0.252725099655672,23,248.19328695652172,0.0434782608695652,1.0,True,0.0963916013578643
IND400015AAB,IND421302AAG,23,3.285713112245317,3.535723325160717,5.709089482094025,1.5397438991345564,23,43.63083913043479,0.0,1.0,True,0.0963916013578643
IND401104AAB,IND421302AAG,23,2.846152751479711,4.164571740247986,8.047381498207125,3.2157400468513653,23,28.643113043478262,0.0,1.0,True,0.0963916013578643
IND401209AAA,IND401104AAA,23,6.208330746528856,5.856717580357488,7.809520090704719,2.201261017849044,23,28.60642173913044,0.0,1.0,True,0.0963916013578643
IND560099AAB,IND560078AAC,28,1.5467387689154912,1.7047412334389793,2.4521728468813713,0.5235824479021836,23,22.846353571428573,0.1785714285714285,0.8214285714285714,True,0.0963916013578643
IND700136AAG,IND712310AAA,23,4.263155650970711,4.731481723752739,5.99210213968307,1.6755315554002606,23,23.683765217391304,0.0,1.0,True,0.0963916013578643
IND712103AAA,IND712310AAE,23,3.233332255555915,3.317676388252112,4.569593200152226,1.0317974984797529,23,35.35188695652174,0.0,1.0,True,0.0963916013578643
IND712311AAA,IND700028AAB,23,3.5263139335189826,3.897402252400667,6.365552086359919,1.653138328273114,23,19.535530434782608,0.0,1.0,True,0.0963916013578643
IND000000ACB,IND000000AEL,23,1.7619044822373835,2.139267706872097,3.668640330928616,1.2483895752765741,22,65.94758260869565,0.0869565217391304,0.9565217391304348,True,0.09220066216839194
IND000000ACB,IND411033AAA,22,1.5337819305209575,1.5277616635101574,1.6139214820195165,0.07332683500403597,22,1426.579331818182,0.0,1.0,True,0.09220066216839194
IND110037AAM,IND110085AAB,22,1.9574267029153152,2.2957967083500397,3.474284079674242,0.9567486019741315,22,22.949827272727276,0.0,1.0,True,0.09220066216839194
IND136118AAA,IND136128AAA,22,1.3774923574485938,1.3990892872484344,1.4999994923078648,0.07609328273829152,22,28.72016363636364,0.0,1.0,True,0.09220066216839194
IND136128AAA,IND136027AAA,22,2.0732312770385906,2.116793481841381,2.3142093143635156,0.16044154060994814,22,28.326804545454547,0.0,1.0,True,0.09220066216839194
IND302014AAB,IND302004AAA,26,1.9772718285128055,2.1521252955223438,3.6313702665143204,1.0250737820213531,22,18.875334615384613,0.2692307692307692,0.8461538461538461,True,0.09220066216839194
IND302014AAB,IND302006AAC,22,2.1416655310191226,2.532069511355506,4.134997921974729,1.2504344368508706,22,23.15811363636364,0.0,1.0,True,0.09220066216839194
IND411021AAA,IND411033AAA,32,1.9999987083341682,3.1330943611596846,8.349993158338961,3.050258803636717,22,11.999628125,0.3125,0.6875,True,0.09220066216839194
IND421302AAG,IND400701AAB,22,2.4506564877302113,3.0965004322363985,4.461902637189223,2.126079861053395,22,22.451563636363637,0.0,1.0,True,0.09220066216839194
IND502286AAB,IND502220AAC,22,1.7983161682946789,1.7891195052880668,1.999999647846952,0.2133095961603421,22,65.96562727272727,0.0,1.0,True,0.09220066216839194
IND532001AAB,IND530012AAA,22,2.1079314744340545,2.211819956972952,2.580459453643801,0.3617364127824256,22,116.95671818181818,0.0,1.0,True,0.09220066216839194
IND560099AAB,IND560048AAB,34,1.405955656538508,1.732418008900245,2.843242485887336,0.9736077202688747,22,27.33288823529412,0.3529411764705882,0.6470588235294118,True,0.09220066216839194
IND562132AAA,IND560002AAA,25,2.2068957907255893,2.3935485233382723,3.237035838134875,0.8534356575437957,22,29.133232,0.12,0.88,True,0.09220066216839194
IND562132AAA,IND560078AAC,25,1.6333327888890703,1.830429938423202,2.3290315694880066,0.8497808242862708,22,38.085312,0.16,0.88,True,0.09220066216839194
IND585401AAA,IND502286AAB,22,1.8900669932076728,1.9196292975643232,2.3274781215517657,0.28206590082244226,22,55.02345,0.0,1.0,True,0.09220066216839194
IND600016AAB,IND600044AAC,22,2.0606611396722805,2.31512864726203,2.8520152351110046,1.0070988442756548,22,39.85390909090909,0.0,1.0,True,0.09220066216839194
IND600056AAB,IND600116AAB,22,2.4537027370545665,3.192520028007658,5.2249981400868695,1.5652550502921554,22,31.953954545454543,0.0,1.0,True,0.09220066216839194
IND832109AAB,IND834002AAB,22,2.5472034654974878,2.76736228477149,3.160464740892805,0.7556612821742521,22,120.14881363636364,0.0,1.0,True,0.09220066216839194
IND842001AAA,IND846004AAA,22,2.2370318516491836,2.3870518936063814,3.132749349543886,0.6707571528795934,22,68.59530454545455,0.0,1.0,True,0.09220066216839194
IND842001AAA,IND847212AAA,22,2.153462140169977,2.305619919508849,3.1450699795676087,0.5612356692655517,22,98.53681363636365,0.0,1.0,True,0.09220066216839194
IND845401AAA,IND845305AAA,22,2.542856416326738,2.5741523284370165,2.8718945847005743,0.2728726150906876,22,49.11880454545455,0.0,1.0,True,0.09220066216839194
IND000000ACB,IND110085AAB,24,1.5560459613810496,1.6714483744592545,2.3594693478392386,0.5006119663517568,21,69.821225,0.125,0.875,True,0.08800972297891957
IND000000ACB,IND201301AAM,39,1.415789399168979,1.624428681760241,2.682345788226731,0.7978561242912618,21,205.1032333333333,0.4615384615384615,0.5384615384615384,True,0.08800972297891957
IND000000ACT,IND160002AAC,21,1.9528794789068336,1.9723697784494147,2.146739013764184,0.15397537788325777,21,236.6406761904762,0.0,1.0,True,0.08800972297891957
IND136027AAA,IND132039AAA,21,1.7941171193773178,2.042274103948467,2.599999257143069,0.5582275218231352,21,39.83722857142857,0.0,1.0,True,0.08800972297891957
IND140301AAA,IND140001AAA,21,1.6666659722225117,1.8407671418530005,2.208332413194828,0.38446213187715106,21,26.42964761904762,0.0,1.0,True,0.08800972297891957
IND141003AAB,IND142026AAA,21,1.6451607596255615,1.660298704670416,1.9032251925080024,0.1899452375948209,21,43.454528571428575,0.0,1.0,True,0.08800972297891957
IND151001AAA,IND160002AAC,21,1.4382715161560793,1.5834330763960494,1.7987803781231475,0.3583519104549134,21,210.1865857142857,0.0,1.0,True,0.08800972297891957
IND209111AAA,IND285001AAD,21,2.199999371428751,2.261324122501957,2.8611103163582454,0.5295473752736694,21,50.39859523809524,0.0,1.0,True,0.08800972297891957
IND262802AAA,IND262723AAB,21,2.558823153114242,2.641586361735225,3.058823079584841,0.34089582022715215,21,92.33216666666668,0.0,1.0,True,0.08800972297891957
