trip_uuid,source_center,destination_center,route_type,segment_osrm_time,segment_actual_time,baseline_pred_min,graph_pred_min,baseline_err_pct,graph_err_pct,graph_wins
trip-153810985525098933,IND521225AAB,IND501359AAE,FTL,255.0,491.0,549.01,466.8,11.814268154913442,4.928063927960107,True
trip-153819411719523934,IND521225AAB,IND501359AAE,FTL,258.0,469.0,555.72,455.52,18.49108860690965,2.874281051722203,True
trip-153836976937654434,IND521225AAB,IND501359AAE,FTL,256.0,403.0,473.54,421.68,17.504617771498914,4.635169799050563,True
trip-153845596027691243,IND521225AAB,IND501359AAE,FTL,262.0,489.0,547.98,478.4,12.061133511471114,2.1674748665129884,True
trip-153807476745712268,IND521225AAB,IND521201AAA,FTL,52.0,84.0,84.62,82.67,0.7405508132207962,1.5862340592434692,False
trip-153816030988525499,IND521225AAB,IND521201AAA,FTL,51.0,77.0,73.73,74.86,4.245272549715909,2.778280191609113,True
trip-153825779690545410,IND521225AAB,IND521201AAA,FTL,52.0,78.0,71.59,74.32,8.216447096604568,4.71641940441047,True
trip-153834294801997680,IND521225AAB,IND521201AAA,FTL,52.0,74.0,73.89,79.76,0.14887629328547297,7.777383509178234,False
trip-153851272802218532,IND521225AAB,IND521201AAA,FTL,51.0,78.0,82.66,82.33,5.972857353014824,5.5565103084716565,True
trip-153860581699870413,IND521225AAB,IND521201AAA,FTL,52.0,74.0,71.07,73.72,3.960614591031461,0.37719269767566205,True
trip-153807481355429948,IND521225AAB,IND521301AAA,FTL,45.0,71.0,72.39,71.77,1.9614743514799735,1.0878551949085216,True
trip-153816035038621205,IND521225AAB,IND521301AAA,FTL,46.0,69.0,71.38,71.26,3.4547557001528535,3.274633318474561,True
trip-153825754474862961,IND521225AAB,IND521301AAA,FTL,45.0,81.0,80.04,81.48,1.1892059702932098,0.5942745904931361,True
trip-153834240263429205,IND521225AAB,IND521301AAA,FTL,45.0,71.0,71.21,72.57,0.298524238693882,2.207120293832217,False
trip-153850824884573883,IND521225AAB,IND521301AAA,FTL,43.0,66.0,66.46,65.19,0.6894776315400095,1.2331752263233873,False
trip-153860540436399679,IND521225AAB,IND521301AAA,FTL,45.0,72.0,75.37,74.9,4.678556654188368,4.022723578190797,True
trip-153839090672632238,IND521225AAB,IND523002AAA,FTL,103.0,220.0,209.41,199.26,4.811574762517756,9.429192968557397,False
trip-153847121604368674,IND521225AAB,IND523002AAA,FTL,105.0,191.0,189.36,188.04,0.8583428347922121,1.5477408232905339,False
trip-153855509786651105,IND521225AAB,IND523002AAA,FTL,104.0,192.0,197.01,187.69,2.607528368631999,2.2433822300471933,True
trip-153807481355429948,IND521301AAA,IND521001AAA,FTL,21.0,35.0,37.57,36.95,7.329275948660714,5.557211585251939,True
trip-153816035038621205,IND521301AAA,IND521001AAA,FTL,24.0,42.0,44.91,42.28,6.938625517345611,0.6784495967982214,True
trip-153825754474862961,IND521301AAA,IND521001AAA,FTL,23.0,43.0,44.29,43.08,3.0062653297601742,0.18931721980502011,True
trip-153834240263429205,IND521301AAA,IND521001AAA,FTL,24.0,45.0,45.69,43.61,1.5339491102430556,3.093253098762716,False
trip-153850824884573883,IND521301AAA,IND521001AAA,FTL,25.0,68.0,55.02,55.97,19.08858804141774,17.68893637736746,True
trip-153860540436399679,IND521301AAA,IND521001AAA,FTL,24.0,44.0,44.88,42.98,2.0046580921519888,2.3279624387115434,False
trip-153816030988525499,IND521333AAA,IND521225AAB,FTL,70.0,153.0,150.09,152.53,1.900945925245098,0.3080085270157041,True
trip-153825779690545410,IND521333AAA,IND521225AAB,FTL,68.0,153.0,139.51,143.46,8.817705141952615,6.238193072661026,True
trip-153806294729162655,IND522647AAA,IND523201AAA,FTL,53.0,80.0,72.58,76.5,9.276351928710938,4.377281440340806,True
trip-153823878799649049,IND522647AAA,IND523201AAA,FTL,54.0,72.0,63.96,73.64,11.161661148071289,2.2801490308137002,True
trip-153834559686295163,IND522647AAA,IND523201AAA,FTL,52.0,77.0,62.56,68.68,18.7545429576527,10.80949151619595,True
